V5, R_0402, 55.381717,22.015574, 84.604349, Front
V5, R_0402, 60.289127,65.407894, 82.69648, Front
V5, R_0402, 66.021886,105.704132, 81.198458, Front
V5, R_0402, 72.871813,146.436687, 79.915985, Front
V5, R_0402, 81.321075,190.961869, 78.709349, Front
V5, R_0402, 90.368009,234.11945, 77.687929, Front
V5, R_0402, 99.766845,275.500701, 76.797644, Front
V5, R_0402, 109.28015,314.693271, 75.994882, Front
V5, R_0402, 119.134107,352.994216, 75.206248, Front
V5, R_0402, 130.204387,393.799624, 74.57061, Front
V5, R_0402, 140.510878,434.69, 77.01975, Front
V5, R_0402, 147.215065,477.874858, 85.160589, Front
V5, R_0402, 145.932046,519.548295, 97.107474, Front
V5, R_0402, 146.839496,554.614882, 77.864748, Front
V5, R_0402, 165.68421,582.528318, 43.437854, Front
V5, R_0402, 198.233581,611.531809, 41.052724, Front
V5, R_0402, 223.27278,650.582511, 73.870893, Front
V5, R_0402, 215.18382,699.040811, 114.579426, Front
V5, R_0402, 215.138632,728.429073, 69.600522, Front
